date,country,course,off_time,race_name,race_type,race_class,distance,distance_furlongs,going,surface,number_of_runners,card_number,position,draw,horse_id,horse,age,sex,weight_carried_lbs,sp_dec,jockey,trainer,prize,official_rating,sire,dam,damsire
2023-06-17,GB,Bath,15:00,British Stallion Studs EBF Fillies Novice Stakes (GBB Race),Flat,Class 4,5f,5f,Firm,Turf,5,5,1.0,3,5055489,Unbreak My Heart (GB),2,F,128,1.91,John Fahy,Clive Cox,5372.99,,Showcasing (GB),Place In My Heart (GB),Compton Place
2023-06-17,GB,Bath,15:00,British Stallion Studs EBF Fillies Novice Stakes (GBB Race),Flat,Class 4,5f,5f,Firm,Turf,5,3,2.0,4,4994497,Dapperling (IRE),2,F,128,4.33,Sean Levey,Richard Hannon,2522.33,,Dandy Man (IRE),Floating Along (IRE),Oasis Dream
2023-06-17,GB,Bath,15:00,British Stallion Studs EBF Fillies Novice Stakes (GBB Race),Flat,Class 4,5f,5f,Firm,Turf,5,4,3.0,5,4994496,Tokyo Drift (GB),2,F,128,5.0,Kevin Stott,David Loughnane,1261.66,,Showcasing (GB),Abraj Dubai (USA),Street Cry
2023-06-17,GB,Bath,15:00,British Stallion Studs EBF Fillies Novice Stakes (GBB Race),Flat,Class 4,5f,5f,Firm,Turf,5,2,4.0,1,5009862,Bint Havana Gold (GB),2,F,128,11.0,Pat Cosgrave,Richard Hughes,630.83,,Havana Gold (IRE),Wings Ablaze (IRE),Dark Angel
2023-06-17,GB,Bath,15:00,British Stallion Studs EBF Fillies Novice Stakes (GBB Race),Flat,Class 4,5f,5f,Firm,Turf,5,1,5.0,2,5021446,Anyone Home (IRE),2,F,128,19.0,Trevor Whelan,Ollie Sangster,,,U S Navy Flag (USA),Rugged Up (IRE),Marju
2023-06-17,GB,Bath,13:56,Download Fitzdares For Free Race Streaming Handicap,Flat,Class 6,1m3½f,11.5f,Firm,Turf,3,2,1.0,3,2843221,On The Right Track (GB),6,G,134,4.5,Joey Haynes,Mark Usher,3245.08,64.0,Mukhadram (GB),Jessica Ennis (USA),English Channel
2023-06-17,GB,Bath,13:56,Download Fitzdares For Free Race Streaming Handicap,Flat,Class 6,1m3½f,11.5f,Firm,Turf,3,1,2.0,2,3826083,Glenister (IRE),4,G,143,1.25,Luke Morris,Sir Mark Prescott Bt,1522.72,73.0,Gleneagles (IRE),Sistine (GB),Dubai Destination
2023-06-17,GB,Bath,13:56,Download Fitzdares For Free Race Streaming Handicap,Flat,Class 6,1m3½f,11.5f,Firm,Turf,3,3,3.0,1,3632541,Chelsea Annie (IRE),4,F,111,17.0,Elisha Whittington,Neil Mulholland,760.74,46.0,Mehmas (IRE),Miss Sally (IRE),Danetime
2023-06-17,GB,Bath,14:30,Olivias Boutique Racewear Handicap,Flat,Class 6,1m2f,10f,Firm,Turf,6,3,1.0,3,4373429,Absolute Queen (IRE),3,F,134,4.5,Pat Cosgrave,George Boughey,3245.08,66.0,Zoffany (IRE),Beat The Stars (IRE),Verglas
2023-06-17,GB,Bath,14:30,Olivias Boutique Racewear Handicap,Flat,Class 6,1m2f,10f,Firm,Turf,6,1,2.0,2,4274075,Yellow Lion (GB),3,C,130,3.0,Alec Voikhansky,Richard Hannon,1522.72,67.0,Bobbys Kitten (USA),Fair Value (IRE),Compton Place
2023-06-17,GB,Bath,14:30,Olivias Boutique Racewear Handicap,Flat,Class 6,1m2f,10f,Firm,Turf,6,4,3.0,1,2835630,Princess T (GB),8,M,131,4.0,Luke Morris,Neil Mulholland,760.74,51.0,Aussie Rules (USA),Fairy Slipper (GB),Singspiel
2023-06-17,GB,Bath,14:30,Olivias Boutique Racewear Handicap,Flat,Class 6,1m2f,10f,Firm,Turf,6,6,4.0,5,3113527,Kraken Filly (IRE),5,M,128,9.0,Charles Bishop,Joe Ponting,380.68,48.0,Camacho (GB),Tip It On The Top (IRE),War Chant
