horse_id,horse,sire,dam,damsire,sex,total_runs,wins,peak_official_rating,total_prize
853110,Magical Effect (IRE),New Approach (IRE),Purple Glow (IRE),Orientate,G,2,0,58.0,0.0
859648,Geological (IRE),Rock Of Gibraltar (IRE),Bean Uasal (IRE),Oasis Dream,G,1,0,61.0,0.0
864899,Astrophysics (GB),Paco Boy (IRE),Jodrell Bank (IRE),Observatory,G,2,0,60.0,3045.44
865031,Sir Chauvelin (GB),Authorized (IRE),Jabbara (IRE),Kingmambo,G,1,0,88.0,0.0
867279,Restorer (GB),Mastercraftsman (IRE),Moon Empress (FR),Rainbow Quest,G,3,0,70.0,7167.0
868099,Youre Cool (GB),Exceed And Excel (AUS),Ja One (IRE),Acclamation,G,2,0,58.0,0.0
875031,Scottish Summit (IRE),Shamardal (USA),Scottish Stage (IRE),Selkirk,G,3,0,92.0,10881.0
885000,Turbine (IRE),Cape Cross (IRE),Chiquita Linda (IRE),Mujadil,G,1,0,67.0,0.0
886589,Point Of Woods (GB),Showcasing (GB),Romantic Myth (GB),Mind Games,G,1,0,46.0,0.0
886963,Billy Roberts (IRE),Multiplex (GB),Mi Amor (IRE),Alzao,G,3,0,70.0,0.0
890541,The Resdev Way (GB),Multiplex (GB),Lady Duxyana (GB),Most Welcome,G,1,0,46.0,217.0
891328,Final Frontier (IRE),Dream Ahead (USA),Polly Perkins (IRE),Pivotal,G,1,0,50.0,214.2
894822,Quoteline Direct (GB),Sir Percy (GB),Queens Pudding (IRE),Royal Applause,G,1,0,50.0,1522.72
895486,Venturous (IRE),Ravens Pass (USA),Bold Desire (GB),Cadeaux Genereux,G,1,0,86.0,921.0
896449,Euchen Glen (GB),Authorized (IRE),Jabbara (IRE),Kingmambo,G,1,0,99.0,2536.0
896860,Round The Island (GB),Royal Applause (GB),Luanshya (GB),First Trump,G,1,0,54.0,1719.2
897764,Great Colaci (GB),Sulamani (IRE),Fairlie (GB),Halling,G,1,0,57.0,858.9
897967,Bigbadboy (IRE),Big Bad Bob (IRE),Elegantly (IRE),Rock Of Gibraltar,G,2,0,46.0,468.18
901037,Documenting (GB),Zamindar (USA),Namaskar (GB),Dansili,G,1,0,100.0,0.0
902956,Stratum (GB),Dansili (GB),Lunar Phase (IRE),Galileo,G,1,0,108.0,0.0
906514,The Grand Visir (GB),Frankel (GB),Piping (IRE),Montjeu,G,3,0,95.0,25350.0
964504,Monaadhil (IRE),Dark Angel (IRE),Urban Daydream (IRE),Oasis Dream,G,1,0,58.0,214.2
964858,Danielsflyer (IRE),Dandy Man (IRE),Warm Welcome (GB),Motivator,G,1,0,69.0,454.36
964927,Tai Sing Yeh (IRE),Exceed And Excel (AUS),Cherry Orchard (IRE),Kings Best,G,1,0,73.0,0.0
974067,Atlas (IRE),Acclamation (GB),Sheer Bliss (IRE),Sadlers Wells,G,2,0,49.0,0.0
989994,Perfect Symphony (IRE),Dandy Man (IRE),Fields Of Joy (GER),Waky Nao,G,1,0,48.0,189.72
989997,Copper Knight (IRE),Sir Prancealot (IRE),Mystic Dream (GB),Oasis Dream,G,3,0,82.0,277.5
998403,Accidental Agent (GB),Delegator (GB),Roodle (GB),Xaar,G,1,0,101.0,0.0
1006061,Redarna (GB),Aqlaam (GB),Curtains (GB),Dubawi,G,1,0,93.0,0.0
1008740,Sir Titan (GB),Aqlaam (GB),Femme De Fer (GB),Hamas,G,1,0,60.0,0.0
1008768,Tis Marvellous (GB),Harbour Watch (IRE),Mythicism (GB),Oasis Dream,G,1,0,105.0,0.0
1010865,Whats The Story (GB),Harbour Watch (IRE),Spring Fashion (IRE),Galileo,G,3,0,87.0,7362.0
1026925,Dandys Gold (IRE),Dandy Man (IRE),Proud Penny (IRE),King Charlemagne,M,1,0,61.0,0.0
1036283,Golden Apollo (GB),Pivotal (GB),Elan (GB),Dansili,G,1,0,73.0,653.91
1044719,Muscika (GB),Kyllachy (GB),Miss Villefranche (GB),Danehill Dancer,G,3,0,76.0,0.0
1048715,Justanotherbottle (IRE),Intense Focus (USA),Duchess K (IRE),Bachelor Duke,G,1,1,89.0,12885.0
1048752,Koropick (IRE),Kodiac (GB),Kathoe (IRE),Fayruz,G,1,0,46.0,0.0
1068641,Red Alert (GB),Sleeping Indian (GB),Red Sovereign (GB),Danzig Connection,G,2,2,56.0,6490.16
1106002,Itsalonglongroad (GB),Lawman (FR),Alabelle (GB),Galileo,G,1,0,49.0,0.0
1119185,Its How We Roll (IRE),Fastnet Rock (AUS),Clodora (FR),Linamix,G,2,2,48.0,7536.96
1138152,International Law (GB),Exceed And Excel (AUS),Cruel Sea (USA),Mizzen Mast,G,1,0,53.0,0.0
1141176,Saltonstall (GB),Pivotal (GB),Macleya (GER),Winged Love,G,1,0,101.0,0.0
1141221,Wild Shot (GB),So You Think (NZ),Highland Shot (GB),Selkirk,G,1,0,54.0,0.0
1147804,Chinese Spirit (IRE),Clodovil (IRE),In The Ribbons (GB),In The Wings,G,1,0,52.0,1719.2
1191244,Salt Whistle Bay (IRE),Royal Applause (GB),Quantum (IRE),Alhaarth,G,1,0,47.0,0.0
1220210,Treacherous (GB),Paco Boy (IRE),Black Baroness (GB),Ishiguru,G,2,0,78.0,0.0
1266494,Monoxide (GB),Galileo (IRE),Breathe (FR),Ocean Of Wisdom,G,1,0,63.0,0.0
1266582,Falcon Eight (IRE),Galileo (IRE),Polished Gem (IRE),Danehill,G,1,0,106.0,0.0
1293819,Mr Wagyu (IRE),Choisir (AUS),Lake Louise (IRE),Haatef,G,1,0,96.0,0.0
1293833,Tangled (IRE),Society Rock (IRE),Open Verse (USA),Black Minnaloushe,G,2,0,62.0,489.6
1371564,Embour (IRE),Acclamation (GB),Carpet Lady (IRE),Night Shift,G,2,0,82.0,0.0
1371580,Mutabaahy (IRE),Oasis Dream (GB),Habaayib (GB),Royal Applause,G,1,0,48.0,0.0
1371584,Orbaan (GB),Invincible Spirit (IRE),Contradict (GB),Ravens Pass,G,1,0,97.0,0.0
1371643,Flavius Titus (GB),Lethal Force (IRE),Furbelow (GB),Pivotal,G,1,0,48.0,1719.2
1371671,Chookie Dunedin (GB),Epaulette (AUS),Lady Of Windsor (IRE),Woods Of Windsor,G,1,0,65.0,1227.0
1371675,Dream Today (IRE),Dream Ahead (USA),Macheera (IRE),Machiavellian,G,1,0,83.0,0.0
1371694,Power Of Darkness (GB),Power (GB),Summers Lease (GB),Pivotal,G,3,0,80.0,532.8
1371785,Bobby K (IRE),Dabirsim (FR),Shanjia (GER),Soldier Hollow,G,1,0,64.0,0.0
1371912,Spanish Mane (IRE),Havana Gold (IRE),Kiva (GB),Indian Ridge,M,1,1,58.0,3245.08
1380999,Bless Him (IRE),Sea The Stars (IRE),Happy Land (IRE),Refuse To Bend,G,1,0,103.0,5285.0
1384709,Snazzy Jazzy (IRE),Red Jazz (USA),Bulrushes (GB),Byron,G,3,0,94.0,0.0
1384711,Big Time Maybe (IRE),Dandy Man (IRE),Divine Design (IRE),Barathea,G,1,0,56.0,380.68
1384823,Crystal Casque (GB),Helmet (AUS),Crystal Moments (GB),Haafhd,M,1,1,76.0,5234.0
1403494,Zillion (IRE),Zebedee (GB),Redelusion (IRE),Hernando,G,2,0,55.0,908.72
1406147,Primos Comet (GB),Orientor (GB),Primo Heights (GB),Primo Valentino,G,1,0,59.0,214.2
1406201,Give It Some Teddy (GB),Bahamian Bounty (GB),Croeso Cariad (GB),Most Welcome,G,1,0,71.0,0.0
1413765,Knockout Blow (GB),Lethal Force (IRE),Elidore (GB),Danetime,G,2,2,59.0,7746.32
1419106,Uther Pendragon (IRE),Dragon Pulse (IRE),Unreal (GB),Dansili,G,3,0,50.0,569.16
1434687,Summerghand (IRE),Lope De Vega (IRE),Kate The Great (GB),Xaar,G,1,0,103.0,0.0
1434705,Firenze Rosa (IRE),Zebedee (GB),Our Nana Rose (IRE),Viking Ruler,M,1,0,54.0,0.0
1434786,The Jam Man (IRE),Papal Bull (GB),Kathy Jet (USA),Singspiel,G,1,0,76.0,0.0
1439510,Oriental Lilly (GB),Orientor (GB),Eternal Instinct (GB),Exceed And Excel,M,2,0,80.0,244.8
1441862,Khafaaq (GB),Helmet (AUS),Mujadil Draw (IRE),Daggers Drawn,G,1,1,63.0,0.0
1444127,Gullane One (IRE),Dream Ahead (USA),Shamsalmaidan (IRE),Fantastic Light,G,1,0,47.0,429.8
1444236,Cold Stare (IRE),Intense Focus (USA),Ziria (IRE),Danehill Dancer,G,1,0,74.0,325.89
1452904,Danzan (IRE),Lawman (FR),Charanga (GB),Cadeaux Genereux,G,2,2,79.0,10468.0
1463735,Reverberation (GB),Excelebration (IRE),Echo Ridge (IRE),Oratorio,G,1,0,47.0,0.0
1471870,John Kirkup (GB),Assertive (GB),Bikini (GB),Trans Island,G,1,0,60.0,429.8
1471893,Jewel Maker (IRE),Invincible Spirit (IRE),Sapphire (IRE),Medicean,G,3,0,72.0,0.0
1473024,Good Impression (GB),Showcasing (GB),Daintily Done (GB),Cacique,G,1,0,48.0,0.0
1483342,Global Humor (USA),Distorted Humor (USA),In Bloom (USA),Discreet Cat,G,1,0,63.0,0.0
1483369,Rivas Rob Roy (GB),Archipenko (USA),Rivas Rhapsody (IRE),Hawk Wing,G,2,2,51.0,6490.16
1483375,Bird For Life (GB),Delegator (GB),Birdolini (GB),Bertolini,M,2,2,54.0,6490.16
1495073,Wajaaha (IRE),New Approach (IRE),Thaahira (USA),Dynaformer,G,1,0,64.0,0.0
1497038,Iconic Knight (IRE),Sir Prancealot (IRE),Teutonic (IRE),Revoque,G,1,0,70.0,0.0
1500666,Spanish Star (IRE),Requinto (IRE),Rancho Star (IRE),Soviet Star,G,1,0,94.0,3020.0
1503432,Roundhay Park (GB),Mayson (GB),Brave Mave (GB),Daylami,G,3,0,80.0,0.0
1503444,Shabaaby (GB),Kyllachy (GB),On The Brink (GB),Mind Games,G,2,0,60.0,0.0
1506947,Black Friday (GB),Equiano (FR),The Clan Macdonald (GB),Intikhab,G,1,0,75.0,0.0
1516562,Thrave (GB),Sir Percy (GB),Feis Ceoil (IRE),Key Of Luck,G,2,0,54.0,468.18
1516567,Landue (GB),Champs Elysees (GB),Time Of Gold (USA),Bankers Gold,G,1,0,66.0,0.0
1518906,Mi Capricho (IRE),Elzaam (AUS),Mavemacullen (IRE),Ad Valorem,G,2,0,62.0,0.0
1533073,Soldiers Minute (GB),Ravens Pass (USA),Hadba (IRE),Cape Cross,G,3,0,85.0,3684.0
1533074,Retirement Beckons (GB),Epaulette (AUS),Mystical Ayr (IRE),Namid,G,2,0,51.0,0.0
1534208,Grandfather Tom (GB),Kheleyf (USA),Kassuta (GB),Kyllachy,G,3,3,74.0,10991.400000000001
1536530,Rum Runner (GB),Havana Gold (IRE),Thermopylae (GB),Tenby,G,1,0,46.0,1719.2
1545259,Patrick Joseph (GB),Helmet (AUS),Laraib (IRE),Invincible Spirit,G,1,0,37.0,0.0
1564138,Treble Cone (GB),Lethal Force (IRE),Cardrona (GB),Selkirk,G,1,0,47.0,0.0
1565302,Chilean (GB),Iffraaj (GB),Childa (IRE),Duke Of Marmalade,G,1,0,59.0,0.0
1565303,Tabdeed (GB),Havana Gold (IRE),Puzzled (IRE),Peintre Celebre,G,1,0,98.0,0.0
1573750,Global Style (IRE),Nathaniel (IRE),Danaskaya (IRE),Danehill,G,2,0,46.0,0.0
1581021,Equilateral (GB),Equiano (FR),Tarentaise (GB),Oasis Dream,G,2,0,107.0,33759.5
1588332,Count Otto (IRE),Sir Prancealot (IRE),Dessert Flower (IRE),Intikhab,G,1,0,77.0,0.0
1601877,How Bizarre (GB),Society Rock (IRE),Amanda Carter (GB),Tobougg,G,3,1,51.0,7421.48
1610726,Vision Clear (GER),Soldier Hollow (GB),Vive Madame (GER),Big Shuffle,G,2,0,45.0,761.36
1624720,Foreseeable Future (FR),Harbour Watch (IRE),Russian Spirit (GB),Falbrav,G,3,0,63.0,2576.7
1632791,Djingle (FR),Voix Du Nord (FR),Jourie (FR),Lute Antique,G,1,0,,0.0
1640268,Royal Prospect (IRE),Thewayyouare (USA),Jillian (USA),Royal Academy,G,2,0,56.0,982.4
1646603,Jamil (IRE),Dansili (GB),Havant (GB),Halling,G,1,0,55.0,0.0
1646609,Nordic Passage (IRE),Dabirsim (FR),Nordic Spruce (USA),Dynaformer,G,1,0,69.0,0.0
1646639,Heart Of Soul (IRE),Makfi (GB),Hadrians Waltz (IRE),Holy Roman Emperor,G,3,0,70.0,1076.4
1652373,Molliana (GB),Olden Times (GB),The Screamer (IRE),Insan,M,3,0,50.0,1363.08
1657488,Young Fire (FR),Fuisse (FR),Young Majesty (USA),Marias Mon,G,1,1,77.0,6542.5
1673041,Lethal Angel (GB),Lethal Force (IRE),Heliograph (GB),Ishiguru,M,2,0,64.0,379.44
1679090,Intellogent (IRE),Intello (GER),Nuit Polaire (IRE),Kheleyf,G,1,0,104.0,0.0
1688309,Furzig (GB),Monsieur Bond (IRE),Princess Cocoa (IRE),Desert Sun,G,3,0,85.0,9165.0
1691169,Jamih (GB),Intello (GER),Hannda (IRE),Dr Devious,G,1,0,55.0,435.4
1706297,Temur Khan (GB),Dansili (GB),Slink (GB),Selkirk,G,2,0,50.0,0.0
1741607,Thibault (GB),Kayf Tara (GB),Seemarye (GB),Romany Rye,G,2,0,67.0,1521.48
1748691,Emaraaty Ana (GB),Shamardal (USA),Spirit Of Dubai (IRE),Cape Cross,G,1,0,113.0,0.0
1748721,Sam Cooke (IRE),Pour Moi (IRE),Saturday Girl (GB),Peintre Celebre,G,2,0,104.0,6040.0
1748939,Casanova (GB),Frankel (GB),Karens Caper (USA),War Chant,G,1,0,97.0,0.0
1749010,Broome (IRE),Australia (GB),Sweepstake (IRE),Acclamation,H,1,0,118.0,0.0
1796185,Fastman (IRE),Elzaam (AUS),Manalisa (IRE),Manduro,G,1,0,70.0,0.0
1796205,Louis Treize (IRE),Slade Power (IRE),Black Rodded (GB),Bahamian Bounty,G,2,0,51.0,761.36
1813523,Cockalorum (IRE),Cape Cross (IRE),Opinionated (IRE),Dubai Destination,G,3,0,84.0,2149.2
1860050,Fox Power (IRE),Dark Angel (IRE),Zenella (GB),Kyllachy,G,1,0,75.0,306.0
1860066,Ouzo (GB),Charm Spirit (IRE),Miss Meltemi (IRE),Miswaki Tern,G,1,0,95.0,2642.5
1860271,Swiss Pride (IRE),Swiss Spirit (GB),Encore Encore (FR),Royal Applause,G,1,1,64.0,3079.54
1860325,Carey Street (IRE),Bungle Inthejungle (GB),Undulant Way (GB),Hurricane Run,G,2,0,59.0,0.0
1870955,Sophosc (IRE),Society Rock (IRE),Ichiuma (USA),Mizzen Mast,G,1,0,75.0,0.0
1887402,Lihou (GB),Mayson (GB),Kodiac Island (GB),Kodiac,G,3,0,84.0,17917.5
1888918,Engles Rock (IRE),Excelebration (IRE),Lisa Gherardini (IRE),Barathea,M,1,0,60.0,0.0
1897202,Zig Zag Zyggy (IRE),The Carbon Unit (USA),Dancing Cosmos (IRE),Holy Roman Emperor,G,1,0,51.0,0.0
1909728,Andaleep (IRE),Siyouni (FR),Oriental Magic (GER),Doyen,G,1,0,85.0,3206.78
1913990,Raymond Tusk (IRE),High Chaparral (IRE),Dancing Shoes (IRE),Danehill,H,2,0,101.0,0.0
1932148,Josiebond (GB),Monsieur Bond (IRE),Smiddy Hill (GB),Factual I,M,2,2,53.0,8008.0
1936672,Mater Matuta (IRE),Dawn Approach (IRE),Morning Bell (GB),Monsun,M,1,0,47.0,0.0
1953173,Delagate The Lady (GB),Delegator (GB),Lady Phill (GB),Avonbridge,M,1,0,51.0,1184.06
1954882,James Watt (IRE),Morpheus (GB),Tomintoul Singer (IRE),Johannesburg,G,1,0,57.0,0.0
1954893,Revich (IRE),Requinto (IRE),Kathleen Rafferty (IRE),Marju,G,1,0,98.0,0.0
1956497,Big Baby Bull (IRE),Tagula (IRE),Grotta Del Fauno (IRE),Galileo,G,1,1,76.0,0.0
1956513,Tomshalfbrother (GB),Sir Percy (GB),Kassuta (GB),Kyllachy,G,1,0,65.0,0.0
1956567,Rathbone (GB),Foxwedge (AUS),Frequent (GB),Three Valleys,G,3,0,81.0,0.0
1967538,Leodis Dream (IRE),Dandy Man (IRE),Paddy Again (IRE),Moss Vale,G,3,0,77.0,2242.5
1969750,Abate (GB),Bated Breath (GB),Red Kyte (GB),Hawk Wing,G,3,0,81.0,7362.0
1969820,Pogo (IRE),Zebedee (GB),Cute (GB),Diktat,H,2,0,115.0,0.0
1975698,Alright Sunshine (IRE),Casamento (IRE),Miss Gibraltar (GB),Rock Of Gibraltar,G,2,0,101.0,0.0
1978673,Count dOrsay (IRE),Dandy Man (IRE),Deira (USA),Green Desert,G,2,0,71.0,3929.6
1980693,Ever Rock (IRE),Society Rock (IRE),Alhaadh (USA),Diesis,M,1,0,64.0,0.0
1982932,Rise Hall (GB),Frankel (GB),Forever Bond (GB),Danetime,G,3,0,84.0,0.0
1984593,Point Of Honour (IRE),Lope De Vega (IRE),Shamayel (GB),Pivotal,G,1,0,47.0,868.7
1996397,Certain Lad (GB),Clodovil (IRE),Chelsey Jayne (IRE),Galileo,G,2,0,107.0,0.0
1999828,Devils Angel (GB),Dark Angel (IRE),Rocking The Boat (IRE),Zebedee,G,2,0,81.0,3803.7
1999843,Tin Fandango (GB),Steele Tango (USA),Littlemoor Lass (GB),Motivator,G,2,0,63.0,761.36
2025049,Nate The Great (GB),Nathaniel (IRE),Theladyinquestion (GB),Dubawi,G,1,0,106.0,16140.0
2027498,Khaadem (IRE),Dark Angel (IRE),White Daffodil (IRE),Footstepsinthesand,G,1,1,108.0,567100.0
2027500,Hard Solution (GB),Showcasing (GB),Copy-Cat (GB),Lion Cavern,G,1,0,46.0,0.0
2031535,Spirit Warning (GB),Charm Spirit (IRE),Averami (GB),Averti,G,2,0,58.0,379.44
2035332,Be Proud (IRE),Roderic OConnor (IRE),Agnista (IRE),Iffraaj,G,1,0,70.0,653.91
2040805,Ocean Reach (GB),Phoenix Reach (IRE),Ocean Transit (IRE),Trans Island,M,2,0,45.0,0.0
2045022,Mac Ailey (GB),Firebreak (GB),Rosabee (IRE),No Excuse Needed,G,1,0,47.0,429.8
2046776,Nefarious (IRE),Zebedee (GB),Tellelle (IRE),Trans Island,G,2,0,54.0,0.0
2052711,The Defiant (GB),Morpheus (GB),Killer Class (GB),Kyllachy,G,1,1,69.0,5050.8
2057715,Indian Sounds (IRE),Exceed And Excel (AUS),Sarinda (GB),Dubawi,G,1,1,63.0,3663.8
2057737,Zoffee (GB),Zoffany (IRE),Mount Crystal (IRE),Montjeu,G,2,0,95.0,3020.0
2057749,Cherry Cola (GB),Sixties Icon (GB),Rose Cheval (USA),Johannesburg,M,3,0,65.0,5452.32
2071797,Three Comets (GER),Sea The Moon (GER),Tickle Me Pink (GB),Groom Dancer,G,1,0,76.0,0.0
2088034,Capone (GER),Nathaniel (IRE),Codera (GER),Zilzal,G,3,3,65.0,18345.6
2094407,Sameem (IRE),New Approach (IRE),Ahla Wasahl (GB),Dubai Destination,G,1,1,55.0,3476.9
2107454,Dark Jedi (IRE),Kodiac (GB),Whitefall (USA),Street Cry,G,1,0,97.0,0.0
2107468,Calling The Wind (IRE),Authorized (IRE),Al Jasrah (IRE),Shirocco,G,2,0,99.0,48340.0
2116175,Croeso Cymraeg (GB),Dick Turpin (IRE),Croeso Cusan (GB),Diktat,G,1,0,81.0,724.8
2117568,Chagall (IRE),Slade Power (IRE),Dangle (IRE),Desert Style,G,2,0,56.0,1521.48
2127472,Under Curfew (GB),Stimulation (IRE),Thicket (GB),Wolfhound,G,3,0,62.0,5157.6
2133922,Michaels Choice (GB),War Command (USA),Todber (GB),Cape Cross,G,2,0,69.0,0.0
2140735,Eligible (IRE),Dark Angel (IRE),Secrets Away (IRE),Refuse To Bend,G,3,0,80.0,0.0
2142258,Gilt Edge (GB),Havana Gold (IRE),Bright Edge (GB),Danehill Dancer,M,2,0,59.0,535.5
2150701,Sunset Nova (IRE),Zebedee (GB),Melodize (GB),Iceman,G,2,1,56.0,0.0
2152684,Mary Salome (IRE),Zebedee (GB),Christa Maria (GB),Alhaarth,M,1,0,78.0,0.0
2152691,Royal Countess (GB),Coach House (IRE),Dont Tell Nan (GB),Major Cadeaux,M,1,0,49.0,0.0
2152749,Gold Arch (GB),Archipenko (USA),Goldrenched (IRE),Montjeu,G,2,0,67.0,0.0
2181259,Han Solo (GB),Havana Gold (IRE),Hearsay (GB),Dubai Destination,G,1,0,47.0,0.0
2189334,The Cruising Lord (GB),Coach House (IRE),Lady Filly (GB),Atraf,G,2,0,69.0,4298.0
2192358,Outbox (GB),Frankel (GB),Emirates Queen (GB),Street Cry,G,3,0,101.0,5649.0
2201756,Magi Gal (IRE),Magician (IRE),Inspeight Of Her (USA),Speightstown,M,1,0,47.0,0.0
